,Name,Main Tag,Tags,Rating,Num Reviews,Address,Zip Code,Neighborhood
0,Mecca Cafe,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant",4.2,1629.0,"Mecca Cafe, 526 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
1,Lost Lake Cafe & Lounge,Diner,"Diner, Bar, Breakfast restaurant, Brunch restaurant, Lunch restaurant, New American restaurant, Restaurant",4.2,3837.0,"Lost Lake Cafe & Lounge, 1505 10th Ave, Seattle, WA 98122",98122,Capitol Hill
2,Seattle Fish Company,Seafood restaurant,Seafood restaurant,4.5,963.0,"Seattle Fish Company, 4435 California Ave SW, Seattle, WA 98116",98116,Other
3,Locust Cider Market Place,Cider bar,"Cider bar, Bar, Brewpub",4.7,108.0,"Locust Cider Market Place, 2003 Western Ave Suite 110C, Seattle, WA 98121",98121,Belltown
5,Marination Ma Kai,Hawaiian restaurant,"Hawaiian restaurant, Bar",4.5,3116.0,"Marination Ma Kai, 1660 Harbor Ave SW, Seattle, WA 98126",98126,Other
6,Caffe Ladro - Downtown at 2+U,Coffee shop,Coffee shop,4.2,25.0,"Caffe Ladro - Downtown at 2+U, 1201 2nd Ave, Seattle, WA 98101",98101,Downtown
7,Kiriba Sushi & Grill,Sushi restaurant,"Sushi restaurant, Asian restaurant, Japanese restaurant",4.5,554.0,"Kiriba Sushi & Grill, 323 N 145th St, Seattle, WA 98133",98133,Bitter Lake
8,Seattle's Best Karaoke,Karaoke,Karaoke,4.2,153.0,"Seattle's Best Karaoke, 1818 Minor Ave, Seattle, WA 98101",98101,Downtown
9,Oasis Tea Zone (Chinatown ID),Cafe,"Cafe, Bubble tea store",4.3,1722.0,"Oasis Tea Zone (Chinatown ID), 519 6th Ave S, Seattle, WA 98104",98104,Chinatown
11,The Spectator,Sports bar,"Sports bar, Bar",3.6,5.0,"The Spectator, 529 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
12,McDonald's,Fast food restaurant,Fast food restaurant,2.5,73.0,"McDonald's, 6546 California Ave SW, Seattle, WA 98136",98136,Other
13,The Roanoke,Bar,"Bar, Pub, Sports bar",4.6,214.0,"The Roanoke, 2409 10th Ave E, Seattle, WA 98102",98102,Capitol Hill
14,Gyros Place,Mediterranean restaurant,"Mediterranean restaurant, Greek restaurant, Gyro restaurant, Juice shop",4.7,63.0,"Gyros Place, 1501 4th Ave #109, Seattle, WA 98101",98101,Downtown
15,Mighty-O Donuts Denny Triangle,Donut shop,"Donut shop, Cafe, Coffee shop",4.4,366.0,"Mighty-O Donuts Denny Triangle, 1812 Boren Ave, Seattle, WA 98101",98101,Downtown
16,Optimism Brewing Company,Brewery,"Brewery, Beer garden, Beer hall, Brewpub",4.6,1513.0,"Optimism Brewing Company, 1158 Broadway, Seattle, WA 98122",98122,Capitol Hill
18,Siam On Eastlake,Thai restaurant,"Thai restaurant, Asian restaurant, Cocktail bar, Restaurant",4.3,376.0,"Siam On Eastlake, 1629 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
19,Potbelly,Sandwich shop,"Sandwich shop, Beverage distributor, Caterer, Deli, Fast food restaurant, Lunch restaurant, Restaurant supply store",4.2,270.0,"Potbelly, 1208 Madison St #121, Seattle, WA 98104",98104,Chinatown
21,Luna Azul,Mexican restaurant,"Mexican restaurant, Latin American restaurant",4.6,298.0,"Luna Azul, 8552 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
22,Northwest Tofu Inc (Tofu manufacture ),Tofu shop,Tofu shop,4.1,279.0,"Northwest Tofu Inc (Tofu manufacture ), 1913 S Jackson St, Seattle, WA 98144",98144,Other
23,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.0,179.0,"Starbucks, 1101 Madison St, Seattle, WA 98104",98104,Chinatown
24,Thats Amore Italian Cafe,Italian restaurant,"Italian restaurant, Restaurant",4.6,440.0,"Thats Amore Italian Cafe, 1425 31st Ave S, Seattle, WA 98144",98144,Other
25,IHOP,Breakfast restaurant,"Breakfast restaurant, American restaurant, Family restaurant",4.1,1274.0,"IHOP, 10002 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
27,Murphy's Pub,Irish pub,Irish pub,4.6,1022.0,"Murphy's Pub, 1928 N 45th St, Seattle, WA 98103",98103,Fremont/Wallingford
28,Seattle's Historic Triangle Pub,Bar,Bar,4.4,270.0,"Seattle's Historic Triangle Pub, Triangle Hotel and Bar, 553 1st Ave S, Seattle, WA 98104",98104,Chinatown
29,Bar Solea,Pizza restaurant,Pizza restaurant,4.7,55.0,"Bar Solea, 822 1st Ave, Seattle, WA 98104",98104,Chinatown
30,Uneeda Burger,Hamburger restaurant,"Hamburger restaurant, American restaurant, Restaurant, Sandwich shop",4.5,2397.0,"Uneeda Burger, 4302 Fremont Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
31,Mamnoon Street,Middle Eastern restaurant,Middle Eastern restaurant,4.3,956.0,"Mamnoon Street, 2020 6th Ave, Seattle, WA 98121",98121,Belltown
32,Saigon Vietnam Deli,Vietnamese restaurant,"Vietnamese restaurant, Deli",4.5,802.0,"Saigon Vietnam Deli, 1200 S Jackson St # 7, Seattle, WA 98144",98144,Other
34,Redtrees Restaurant and Bar,Restaurant,"Restaurant, Bar, Breakfast restaurant",4.2,57.0,"Redtrees Restaurant and Bar, 1301 6th Ave, Seattle, WA 98101",98101,Downtown
35,The Live Butcher LLC,Butcher shop,Butcher shop,4.8,166.0,"The Live Butcher LLC, 9432 16th Ave SW, Seattle, WA 98106",98106,Other
36,Macleod's Scottish Pub,Fish & chips restaurant,"Fish & chips restaurant, Bar",4.6,873.0,"Macleod's Scottish Pub, 5200 Ballard Ave NW, Seattle, WA 98107",98107,Ballard
37,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.3,276.0,"Starbucks, 2344 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
38,Bent Burgers,Hamburger restaurant,"Hamburger restaurant, American restaurant, Family restaurant, Fast food restaurant, Vegetarian restaurant",4.4,585.0,"Bent Burgers, 5100 S Dawson St #204, Seattle, WA 98118",98118,Other
41,Brunello Ristorante Italiano,Italian restaurant,Italian restaurant,4.5,585.0,"Brunello Ristorante Italiano, 7115 Roosevelt Way NE, Seattle, WA 98115",98115,Other
42,Goat on Greenwood,American restaurant,American restaurant,4.4,59.0,"Goat on Greenwood, 6722 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
43,Nasai Teriyaki,Japanese restaurant,"Japanese restaurant, Restaurant",3.7,73.0,"Nasai Teriyaki, 5025 25th Ave NE, Seattle, WA 98105",98105,University District
44,Harry's Fine Foods,Restaurant,Restaurant,4.6,497.0,"Harry's Fine Foods, 601 Bellevue Ave E, Seattle, WA 98102",98102,Capitol Hill
45,Bourbon Steak Seattle,Steak house,"Steak house, American restaurant, Wine bar",4.3,361.0,"Bourbon Steak Seattle, 1433 4th Ave, Seattle, WA 98101",98101,Downtown
46,Molly Moon's Homemade Ice Cream,Ice cream shop,"Ice cream shop, Dessert restaurant, Dessert shop",4.6,1355.0,"Molly Moon's Homemade Ice Cream, 1622.5 N 45th St, Seattle, WA 98103",98103,Fremont/Wallingford
47,Chieftain Irish Pub & Restaurant,Bar,"Bar, American restaurant, Irish pub",4.2,317.0,"Chieftain Irish Pub & Restaurant, 908 12th Ave, Seattle, WA 98122",98122,Capitol Hill
49,Pizzutos,Italian restaurant,Italian restaurant,4.6,214.0,"Pizzutos, 5032 Wilson Ave S, Seattle, WA 98118",98118,Other
50,Via Tribunali,Pizza restaurant,"Pizza restaurant, Neapolitan restaurant",4.4,628.0,"Via Tribunali, 913 E Pike St, Seattle, WA 98122",98122,Capitol Hill
51,Cooper's Alehouse,Pub,"Pub, American restaurant, Bar, Bar & grill, Sports bar",4.4,284.0,"Cooper's Alehouse, 8065 Lake City Way NE, Seattle, WA 98115",98115,Other
52,Frankie & Jo's Ballard,Ice cream shop,Ice cream shop,4.8,690.0,"Frankie & Jo's Ballard, 1411 NW 70th St, Seattle, WA 98117",98117,Other
55,Foo Lam Chinese Restaurant,Chinese restaurant,"Chinese restaurant, Asian restaurant",3.8,242.0,"Foo Lam Chinese Restaurant, 7101 Martin Luther King Jr Way S, Seattle, WA 98118",98118,Other
56,Noi Thai Cuisine - Downtown Seattle,Thai restaurant,"Thai restaurant, Asian restaurant, Bar, Fine dining restaurant, Restaurant, Southeast Asian restaurant",4.4,2074.0,"Noi Thai Cuisine - Downtown Seattle, 1303 1st Ave, Seattle, WA 98101",98101,Downtown
57,Siam on Eastlake,Restaurant,Restaurant,3.8,8.0,"Siam on Eastlake, 1880 Fairview Ave E, Seattle, WA 98102",98102,Capitol Hill
58,Pel Meni Dumpling Tzar,Dumpling restaurant,"Dumpling restaurant, Bar, Restaurant, Russian restaurant",4.3,815.0,"Pel Meni Dumpling Tzar, 3518 Fremont Pl N, Seattle, WA 98103",98103,Fremont/Wallingford
59,Luciano's Pizza & Pasta,Pizza restaurant,"Pizza restaurant, Pizza delivery, Pizza Takeout",3.9,195.0,"Luciano's Pizza & Pasta, 2341 California Ave SW, Seattle, WA 98116",98116,Other
60,The Halal Guys,Halal restaurant,Halal restaurant,3.9,811.0,"The Halal Guys, 101 Yesler Wy, Seattle, WA 98104",98104,Chinatown
61,Atmos Cafe,Cafe,Cafe,2.0,8.0,"Atmos Cafe, 400 Broad St, Seattle, WA 98109",98109,Queen Anne/South Lake Union
62,Red Cedar & Sage,Pacific Northwest restaurant (US),"Pacific Northwest restaurant (US), Restaurant",4.3,302.0,"Red Cedar & Sage, 1501 Pike Pl #200, Seattle, WA 98101",98101,Downtown
63,Einstein Bros. Bagels,Bagel shop,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Coffee shop",4.1,223.0,"Einstein Bros. Bagels, 2746 NE 45th St, Seattle, WA 98105",98105,University District
65,Seattle Culinary Academy at Seattle Central College,Culinary school,Culinary school,4.7,7.0,"Seattle Culinary Academy at Seattle Central College, 1701 Broadway BE2120, Seattle, WA 98122",98122,Capitol Hill
66,Mr D's Greek Delicacies,Greek restaurant,"Greek restaurant, Gyro restaurant, Delivery Restaurant, Takeout Restaurant, Restaurant",4.4,263.0,"Mr D's Greek Delicacies, 1518 Pike Pl, Seattle, WA 98101",98101,Downtown
67,Ezell's Famous Chicken,American restaurant,"American restaurant, Fast food restaurant, Restaurant, Soul food restaurant",4.3,1811.0,"Ezell's Famous Chicken, 2300 N 45th St #6906, Seattle, WA 98103",98103,Fremont/Wallingford
68,Outlier,Small plates restaurant,"Small plates restaurant, Bar",3.9,524.0,"Outlier, 1101 4th Ave, Seattle, WA 98101",98101,Downtown
69,Willmott's Ghost,Restaurant,Restaurant,4.3,423.0,"Willmott's Ghost, 2100 6th Ave, Seattle, WA 98121",98121,Belltown
72,Mee Sum Pastry,Chinese bakery,"Chinese bakery, Chinese restaurant",4.5,814.0,"Mee Sum Pastry, 1526 Pike Pl, Seattle, WA 98101",98101,Downtown
73,Blue Water Taco Grill Catering,Mexican restaurant,Mexican restaurant,4.4,170.0,"Blue Water Taco Grill Catering, 2962 1st Ave S, Seattle, WA 98134",98134,Other
74,Ballard Kiss Cafe,Sandwich shop,"Sandwich shop, Beer store",4.7,453.0,"Ballard Kiss Cafe, 2817 NW Market St, Seattle, WA 98107",98107,Ballard
75,Meekong Bar,Asian restaurant,"Asian restaurant, Bar, Pho restaurant, Vietnamese restaurant",4.5,558.0,"Meekong Bar, 2525 4th Ave, Seattle, WA 98121",98121,Belltown
76,Starbucks,Coffee shop,"Coffee shop, Cafe, Coffee store, Espresso bar",3.9,96.0,"Starbucks, 2746 NE 45th St, Seattle, WA 98105",98105,University District
77,City Grind Espresso,Coffee shop,Coffee shop,4.7,17.0,"City Grind Espresso, Hall, 600 4th Ave First Floor, Seattle, WA 98104",98104,Chinatown
78,Mekong Village,Vietnamese restaurant,"Vietnamese restaurant, Asian restaurant, Restaurant, Southeast Asian restaurant",4.5,465.0,"Mekong Village, 12020 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
79,Elliott Bay Book Company,Book store,Book store,4.8,3881.0,"Elliott Bay Book Company, 1521 10th Ave, Seattle, WA 98122",98122,Capitol Hill
81,The Dray,Pub,"Pub, Coffee shop, Restaurant",4.7,200.0,"The Dray, 708 NW 65th St, Seattle, WA 98117",98117,Other
82,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,241.0,"Starbucks, 17827 1st Ave S, Seattle, WA 98148",98148,Other
83,Coastal Kitchen,Seafood restaurant,"Seafood restaurant, American restaurant, Brunch restaurant, Oyster bar restaurant",4.3,1275.0,"Coastal Kitchen, 429 15th Ave E, Seattle, WA 98112",98112,Capitol Hill
84,BOL,Vietnamese restaurant,Vietnamese restaurant,4.0,298.0,"BOL, 900 NE 65th St, Seattle, WA 98115",98115,Other
85,Taki's Mad Greek,Greek restaurant,"Greek restaurant, Mediterranean restaurant, Restaurant",4.3,445.0,"Taki's Mad Greek, 1471 NW 85th St, Seattle, WA 98117",98117,Other
86,Cyclops,Bar & grill,Bar & grill,4.4,719.0,"Cyclops, 2421 1st Ave, Seattle, WA 98121",98121,Belltown
87,Espresso Vivace Capitol Hill,Espresso bar,"Espresso bar, Cafe, Coffee shop",4.6,1142.0,"Espresso Vivace Capitol Hill, 532 Broadway E, Seattle, WA 98102",98102,Capitol Hill
89,Bacco Cafe,Cafe,"Cafe, Bistro, Breakfast restaurant, Brunch restaurant",4.5,1400.0,"Bacco Cafe, 86 Pine St, Seattle, WA 98101",98101,Downtown
93,ALOHA PLATES,Hawaiian restaurant,"Hawaiian restaurant, Asian fusion restaurant, Asian restaurant, Fast food restaurant, Food court, Japanese restaurant, Restaurant",4.1,201.0,"ALOHA PLATES, 511 S Weller St, Seattle, WA 98104",98104,Chinatown
94,JaK's Alehouse,Grill,"Grill, Beer hall, Cocktail bar, Restaurant, Steak house",4.3,451.0,"JaK's Alehouse, 7900 East Green Lake Dr N, Seattle, WA 98103",98103,Fremont/Wallingford
95,Thai 2go (UW),Thai restaurant,Thai restaurant,4.7,13.0,"Thai 2go (UW), 4106 Brooklyn Ave NE suite 102 A, Seattle, WA 98105",98105,University District
99,Harry's Beach House,Restaurant,Restaurant,4.5,470.0,"Harry's Beach House, 2676 Alki Ave SW, Seattle, WA 98116",98116,Other
100,La Creperie Voila,Restaurant,Restaurant,4.2,119.0,"La Creperie Voila, 705 Pike St, Seattle, WA 98101",98101,Downtown
101,Atoma,Restaurant,Restaurant,4.8,69.0,"Atoma, 1411 N 45th St, Seattle, WA 98103",98103,Fremont/Wallingford
103,The Triple Door,Live music venue,"Live music venue, Bar, Dinner theater, Restaurant",4.5,2141.0,"The Triple Door, 216 Union St, Seattle, WA 98101",98101,Downtown
105,Solo Bar & Eatery,Bar,"Bar, Restaurant",4.5,280.0,"Solo Bar & Eatery, 200 Roy St, Seattle, WA 98109",98109,Queen Anne/South Lake Union
109,Jack in the Box,Fast food restaurant,"Fast food restaurant, American restaurant, Breakfast restaurant, Chicken restaurant, Dessert restaurant, Hamburger restaurant, Delivery Restaurant, Mexican restaurant",3.1,1104.0,"Jack in the Box, 8502 Aurora Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
110,Molly Moon's,Ice cream shop,Ice cream shop,4.5,473.0,"Molly Moon's, 4822 Rainier Ave S, Seattle, WA 98118",98118,Other
111,Pecado Bueno Eastlake,Mexican restaurant,"Mexican restaurant, Organic restaurant, Restaurant",4.2,546.0,"Pecado Bueno Eastlake, 2356 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
113,Currant Bistro,Restaurant,Restaurant,3.9,104.0,"Currant Bistro, 2120 4th Ave, Seattle, WA 98121",98121,Belltown
119,Little Oddfellows,Coffee shop,Coffee shop,4.3,130.0,"Little Oddfellows, 1521 10th Ave, Seattle, WA 98122",98122,Capitol Hill
120,Uncle  Lee's,Chinese restaurant,"Chinese restaurant, Restaurant",4.5,180.0,"Uncle  Lee's, 5408 Sand Point Way NE, Seattle, WA 98105",98105,University District
121,Family Donut Shop,Donut shop,Donut shop,4.8,524.0,"Family Donut Shop, 2100 N Northgate Way, Seattle, WA 98133",98133,Bitter Lake
122,Pho Vietnam,Vietnamese restaurant,"Vietnamese restaurant, Pho restaurant",4.5,320.0,"Pho Vietnam, 7040 15th Ave NW, Seattle, WA 98117",98117,Other
123,Cha Cha Lounge,Bar,"Bar, Cocktail bar, Lounge, Restaurant",4.2,607.0,"Cha Cha Lounge, 1013 E Pike St, Seattle, WA 98122",98122,Capitol Hill
124,Alberona's DaVinci Pizza & Pasta,Italian restaurant,"Italian restaurant, Pizza delivery",3.9,360.0,"Alberona's DaVinci Pizza & Pasta, 3624 Leary Wy NW, Seattle, WA 98107",98107,Ballard
125,Cafe Soleil,Ethiopian restaurant,Ethiopian restaurant,4.8,90.0,"Cafe Soleil, 1400 34th Ave, Seattle, WA 98122",98122,Capitol Hill
126,Seattle Lotus Vegetarian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Asian restaurant, Vietnamese restaurant",4.4,347.0,"Seattle Lotus Vegetarian Restaurant, 10439 16th Ave SW, Seattle, WA 98146",98146,Other
127,Shawarma King,Mediterranean restaurant,"Mediterranean restaurant, Fast food restaurant, Middle Eastern restaurant, Shawarma restaurant",4.4,1237.0,"Shawarma King, 4337 University Way NE, Seattle, WA 98105",98105,University District
129,Purple Dot Cafe,Dim sum restaurant,"Dim sum restaurant, Chinese restaurant",3.8,986.0,"Purple Dot Cafe, 515 Maynard Ave S, Seattle, WA 98104",98104,Chinatown
130,Bob's Quality Meats,Butcher shop,Butcher shop,4.7,187.0,"Bob's Quality Meats, 4861 Rainier Ave S, Seattle, WA 98118",98118,Other
131,Radiator Whiskey,Bar,"Bar, American restaurant",4.7,1242.0,"Radiator Whiskey, 94 Pike St #30, Seattle, WA 98101",98101,Downtown
132,Pho Sriracha,Vietnamese restaurant,"Vietnamese restaurant, Pho restaurant, Southeast Asian restaurant",3.8,85.0,"Pho Sriracha, 5515 4th Ave S, Seattle, WA 98108",98108,Other
134,Mr Lu's Seafood & Burgers,Hamburger restaurant,"Hamburger restaurant, Seafood restaurant",4.5,312.0,"Mr Lu's Seafood & Burgers, 4752 University Way NE, Seattle, WA 98105",98105,University District
135,Corvus and Company,Bar,Bar,4.6,488.0,"Corvus and Company, 601 Broadway E, Seattle, WA 98102",98102,Capitol Hill
136,Slices USA,Pizza restaurant,Pizza restaurant,3.6,124.0,"Slices USA, 809 Olive Wy suite c, Seattle, WA 98101",98101,Downtown
137,Asadero Ballard,Steak house,"Steak house, Mexican restaurant",4.6,2167.0,"Asadero Ballard, 5405 Leary Ave NW, Seattle, WA 98107",98107,Ballard
138,Sugar Bakery & Cafe,Bakery,"Bakery, Cafe, Coffee shop, Dessert shop, Lunch restaurant",4.4,683.0,"Sugar Bakery & Cafe, 1014 Madison St, Seattle, WA 98104",98104,Chinatown
139,Jack's Fish Spot,Seafood restaurant,"Seafood restaurant, Seafood market",4.1,889.0,"Jack's Fish Spot, 1514 Pike Pl, Seattle, WA 98101",98101,Downtown
140,Red Mill Burgers,Hamburger restaurant,"Hamburger restaurant, Fast food restaurant",4.6,2238.0,"Red Mill Burgers, 312 N 67th St, Seattle, WA 98103",98103,Fremont/Wallingford
141,NW Peaks Brewery,Brewery,Brewery,4.6,65.0,"NW Peaks Brewery, 4818 17th Ave NW, Seattle, WA 98107",98107,Ballard
146,Subway,Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",3.9,421.0,"Subway, 2338 Rainier Ave S, Seattle, WA 98144",98144,Other
147,Polish Home Association,Cultural center,Cultural center,4.8,199.0,"Polish Home Association, 1714 18th Ave, Seattle, WA 98122",98122,Capitol Hill
149,Milstead & Co.,Coffee shop,Coffee shop,4.7,994.0,"Milstead & Co., 754 N 34th St, Seattle, WA 98103",98103,Fremont/Wallingford
150,206 Burger Company,Hamburger restaurant,"Hamburger restaurant, American restaurant, Breakfast restaurant, Dessert restaurant, Family restaurant, Fast food restaurant, Lunch restaurant, Salad shop",4.3,1007.0,"206 Burger Company, 1000 Madison St, Seattle, WA 98104",98104,Chinatown
151,Midori Teriyaki,Asian restaurant,"Asian restaurant, Chicken restaurant, Japanese restaurant, Restaurant",4.4,262.0,"Midori Teriyaki, 1120 Howell St, Seattle, WA 98101",98101,Downtown
153,Marseille,Restaurant,"Restaurant, Wine bar, Wine store",4.6,29.0,"Marseille, 1531 Melrose Ave, Seattle, WA 98122",98122,Capitol Hill
154,Blazing Bagels,Bagel shop,"Bagel shop, Bakery, Breakfast restaurant, Cafe, Lunch restaurant, Sandwich shop",4.3,1094.0,"Blazing Bagels, 1911 1st Ave S, Seattle, WA 98134",98134,Other
155,Kaosamai Thai Restaurant,Thai restaurant,"Thai restaurant, Restaurant",4.4,468.0,"Kaosamai Thai Restaurant, 404 N 36th St, Seattle, WA 98103",98103,Fremont/Wallingford
156,Pizza and Pasta Bar,Italian restaurant,"Italian restaurant, Brunch restaurant, Takeout Restaurant, Pizza restaurant",4.2,589.0,"Pizza and Pasta Bar, 1530 Post Alley #7, Seattle, WA 98101",98101,Downtown
158,Espresso Caffe Dior,Espresso bar,"Espresso bar, Cafe",3.3,36.0,"Espresso Caffe Dior, 800 Convention Pl, Seattle, WA 98101",98101,Downtown
159,Magic Dragon Restaurant,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant",3.7,73.0,"Magic Dragon Restaurant, 3820 Rainier Ave S, Seattle, WA 98118",98118,Other
161,Sopranos Pizza & Pasta,Pizza restaurant,"Pizza restaurant, Italian restaurant, Pizza delivery",4.2,351.0,"Sopranos Pizza & Pasta, 7729 24th Ave NW, Seattle, WA 98117",98117,Other
162,Tilikum Place Cafe,Restaurant,"Restaurant, Bar, Breakfast restaurant, Brunch restaurant, European restaurant",4.6,1587.0,"Tilikum Place Cafe, 407 Cedar St, Seattle, WA 98121",98121,Belltown
165,PokePlus,Restaurant,Restaurant,4.7,147.0,"PokePlus, 811 E Pike St, Seattle, WA 98122",98122,Capitol Hill
167,Sully's Snow Goose Saloon,Pub,Pub,4.6,247.0,"Sully's Snow Goose Saloon, 6119 Phinney Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
168,RoRo BBQ,Barbecue restaurant,"Barbecue restaurant, Caterer, Takeout Restaurant",4.5,955.0,"RoRo BBQ, 3620 Stone Way N, Seattle, WA 98103",98103,Fremont/Wallingford
169,Arepa Venezuelan Kitchen,Venezuelan restaurant,"Venezuelan restaurant, Restaurant",4.7,950.0,"Arepa Venezuelan Kitchen, 1405 NE 50th St, Seattle, WA 98105",98105,University District
170,A Burger Place,Hamburger restaurant,"Hamburger restaurant, Fast food restaurant",4.6,271.0,"A Burger Place, 4234 University Way NE, Seattle, WA 98105",98105,University District
171,Al Basha Mediterranean Grill,Mediterranean restaurant,"Mediterranean restaurant, Restaurant",4.3,1718.0,"Al Basha Mediterranean Grill, 2302 1st Ave, Seattle, WA 98121",98121,Belltown
172,Floating Leaves Tea,Tea store,Tea store,5.0,103.0,"Floating Leaves Tea, 1704 NW Market St, Seattle, WA 98107",98107,Ballard
173,Maya's Fiesta Time Catering & Mobile Food Trucks,Caterer,"Caterer, Mobile caterer",3.5,14.0,"Maya's Fiesta Time Catering & Mobile Food Trucks, 9447 Rainier Ave S Suite B, Seattle, WA 98118",98118,Other
174,Shadowland,Bar & grill,"Bar & grill, Bar, Lounge",4.4,840.0,"Shadowland, 4458 California Ave SW, Seattle, WA 98116",98116,Other
176,Pine Box,Bar,"Bar, Restaurant",4.5,1378.0,"Pine Box, 1600 Melrose Ave, Seattle, WA 98122",98122,Capitol Hill
177,Anita's Mexican Food,Mexican restaurant,"Mexican restaurant, Restaurant",4.6,353.0,"Anita's Mexican Food, 12245 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
178,Safeway,Grocery store,"Grocery store, Bakery, Butcher shop, Deli, E-commerce service, Florist, Grocery delivery service, Organic food store, Produce market, Supermarket",4.0,2029.0,"Safeway, 516 1st Ave W, Seattle, WA 98119",98119,Other
179,Jimmy's on Broadway,American restaurant,"American restaurant, Bar, Event venue, Restaurant",4.3,518.0,"Jimmy's on Broadway, 1100 Broadway, Seattle, WA 98122",98122,Capitol Hill
181,King Philly CheeseSteaks,Cheesesteak restaurant,"Cheesesteak restaurant, Fast food restaurant, Sandwich shop",4.3,537.0,"King Philly CheeseSteaks, 7820 Rainier Ave S unit a, Seattle, WA 98118",98118,Other
182,Teriyaki and pho,Japanese restaurant,"Japanese restaurant, Vietnamese restaurant",3.8,224.0,"Teriyaki and pho, 13027 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
184,Ceviche Seattle & cantina,Restaurant,"Restaurant, Bar & grill, Meat dish restaurant, Seafood restaurant",4.1,138.0,"Ceviche Seattle & cantina, 8515 14th Ave S, Seattle, WA 98108",98108,Other
186,El Patio,Latin American restaurant,"Latin American restaurant, Bar, Bar & grill, Central American restaurant, Costa Rican restaurant, Honduran restaurant, Nicaraguan restaurant, Restaurant, Salvadoran restaurant",4.2,685.0,"El Patio, 9710 Aurora Ave N, Seattle, WA 98133",98133,Bitter Lake
188,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,567.0,"Starbucks, 7100 East Green Lake Dr N, Seattle, WA 98115",98115,Other
189,Green Tree Restaurant,Vietnamese restaurant,Vietnamese restaurant,4.6,244.0,"Green Tree Restaurant, 8576 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
193,Urban Sushi Kitchen,Sushi restaurant,"Sushi restaurant, Asian restaurant, Japanese restaurant, Restaurant",4.4,355.0,"Urban Sushi Kitchen, 2001 8th Ave #150, Seattle, WA 98121",98121,Belltown
194,No Bones Beach Club,Vegan restaurant,"Vegan restaurant, Restaurant",4.6,1124.0,"No Bones Beach Club, 5410 17th Ave NW, Seattle, WA 98107",98107,Ballard
195,GoldinBlack,Korean restaurant,"Korean restaurant, Sandwich shop, Tapas restaurant",4.5,336.0,"GoldinBlack, 621 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
197,Mawadda Cafe,Mediterranean restaurant,Mediterranean restaurant,4.5,471.0,"Mawadda Cafe, 4433 S Graham St, Seattle, WA 98118",98118,Other
198,Bang Bang Cafe,Cafe,"Cafe, Bakery, Brunch restaurant, Espresso bar, Vegan restaurant",4.3,526.0,"Bang Bang Cafe, 2460 Western Ave, Seattle, WA 98121",98121,Belltown
199,Lai Rai Restaurant and Bar,Restaurant,Restaurant,4.1,69.0,"Lai Rai Restaurant and Bar, 2234 1st Ave, Seattle, WA 98121",98121,Belltown
200,Ruth's Chris Steak House,Steak house,"Steak house, American restaurant, Caterer, Fine dining restaurant, Restaurant, Seafood restaurant",4.3,1344.0,"Ruth's Chris Steak House, Grand Hyatt Seattle, 727 Pine St, Seattle, WA 98101",98101,Downtown
201,Zeeks Pizza,Pizza restaurant,"Pizza restaurant, Beer hall, Family restaurant, Pizza delivery, Pizza Takeout, Restaurant",4.3,177.0,"Zeeks Pizza, 1830 E Mercer St, Seattle, WA 98112",98112,Capitol Hill
202,Emmett Watson's Oyster Bar,Restaurant,"Restaurant, Oyster bar restaurant, Seafood restaurant",4.0,362.0,"Emmett Watson's Oyster Bar, 1916 Pike Pl, Seattle, WA 98101",98101,Downtown
204,Hamlin Market & Deli,Deli,Deli,4.8,100.0,"Hamlin Market & Deli, 2729 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
