,Name,Main Tag,Tags,Rating,Num Reviews,Address,Zip Code,Neighborhood
2264,Jamba,Juice shop,Juice shop,4.2,200.0,"Jamba, 2690 NE 49th St, Seattle, WA 98105",98105,University District
2265,Elysian Taproom,Brewery,Brewery,4.6,134.0,"Elysian Taproom, 5410 Airport Way S, Seattle, WA 98108",98108,Other
2266,Jebena Cafe,Ethiopian restaurant,"Ethiopian restaurant, African restaurant, East African restaurant, Restaurant",4.8,734.0,"Jebena Cafe, 1510 NE 117th St, Seattle, WA 98125",98125,Northgate
2267,Diesel,Gay bar,"Gay bar, Bar",4.4,129.0,"Diesel, 1413 14th Ave, Seattle, WA 98122",98122,Capitol Hill
2268,Papa Johns Pizza,Pizza restaurant,Pizza restaurant,3.2,288.0,"Papa Johns Pizza, 5401C 25th Ave NE Ste C, Seattle, WA 98105",98105,University District
2270,Kabab Corner,Mediterranean restaurant,"Mediterranean restaurant, Kebab shop",2.6,88.0,"Kabab Corner, Armory, 305 Harrison St #219, Seattle, WA 98109",98109,Queen Anne/South Lake Union
2273,Satay Bar,Thai restaurant,"Thai restaurant, Restaurant",4.4,149.0,"Satay Bar, 8317 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
2275,Evergreens Digital,Restaurant,"Restaurant, Health food restaurant, Salad shop",4.2,151.0,"Evergreens Digital, 1631 6th Ave, Seattle, WA 98101",98101,Downtown
2280,Nue,Eclectic restaurant,"Eclectic restaurant, Asian fusion restaurant, Asian restaurant, Brunch restaurant, Caribbean restaurant, Lunch restaurant, Restaurant, Tapas bar",4.4,1960.0,"Nue, 1519 14th Ave, Seattle, WA 98122",98122,Capitol Hill
2281,Sushi Kappo Tamura,Japanese restaurant,"Japanese restaurant, Asian restaurant, Bar, Sushi restaurant",4.6,743.0,"Sushi Kappo Tamura, 2968 Eastlake Ave E, Seattle, WA 98102",98102,Capitol Hill
2282,Emerald City Fish and Chips,Fish & chips restaurant,Fish & chips restaurant,4.7,93.0,"Emerald City Fish and Chips, 3756 Rainier Ave S, Seattle, WA 98144",98144,Other
2283,Jalisco Mexican Restaurant,Mexican restaurant,Mexican restaurant,4.4,1050.0,"Jalisco Mexican Restaurant, 12336 31st Ave NE, Seattle, WA 98125",98125,Northgate
2284,The Hart and the Hunter,Restaurant,Restaurant,4.2,353.0,"The Hart and the Hunter, 109 Pine St, Seattle, WA 98101",98101,Downtown
2286,Domani Pizzeria and Restaurant,Italian restaurant,"Italian restaurant, Bar, European restaurant, Pasta shop, Pizza delivery, Pizza restaurant, Pizza Takeout, Restaurant",4.2,272.0,"Domani Pizzeria and Restaurant, 1515 Queen Anne Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
2287,Pasta Casalinga,Italian restaurant,Italian restaurant,4.6,693.0,"Pasta Casalinga, 93 Pike St #201, Seattle, WA 98101",98101,Downtown
2289,Crumble & Flake Patisserie,Bakery,"Bakery, Cafe, Coffee shop, Dessert restaurant, Dessert shop, Espresso bar, French restaurant, Ice cream shop, Modern French restaurant, Pastry shop",4.5,251.0,"Crumble & Flake Patisserie, 1500 E Olive Wy, Seattle, WA 98122",98122,Capitol Hill
2290,Pacific Place,Shopping mall,Shopping mall,4.1,5139.0,"Pacific Place, 600 Pine St, Seattle, WA 98101",98101,Downtown
2292,Lady M Cake Boutique - Seattle,Cake shop,"Cake shop, Bakery, Cafe, Confectionery, Dessert restaurant, Dessert shop",4.0,171.0,"Lady M Cake Boutique - Seattle, 2nd floor, 219 Bellevue Square, Bellevue, WA 98004",,Other
2294,Osteria la Spiga,Italian restaurant,"Italian restaurant, Restaurant",4.3,731.0,"Osteria la Spiga, 1429 12th Ave, Seattle, WA 98122",98122,Capitol Hill
2297,Anthony's Pier 66 & Bell Street Diner,Seafood restaurant,"Seafood restaurant, Bar, Diner",4.3,2053.0,"Anthony's Pier 66 & Bell Street Diner, 2201 Alaskan Wy, Seattle, WA 98121",98121,Belltown
2301,Twilight Exit,Cocktail bar,"Cocktail bar, Bar, Restaurant",4.6,679.0,"Twilight Exit, 2514 E Cherry St, Seattle, WA 98122",98122,Capitol Hill
2302,Serious Pie Ballard,Pizza restaurant,"Pizza restaurant, Takeout Restaurant, Pizza Takeout",4.3,214.0,"Serious Pie Ballard, 5118 14th Ave NW, Seattle, WA 98107",98107,Ballard
2305,Little Prague European Bakery,Bakery,Bakery,4.5,133.0,"Little Prague European Bakery, 6045 California Ave SW, Seattle, WA 98136",98136,Other
2306,Shiku Sushi,Sushi restaurant,"Sushi restaurant, Bar",4.3,528.0,"Shiku Sushi, 5310 Ballard Ave NW, Seattle, WA 98107",98107,Ballard
2307,Caffe D'arte - Pioneer Square Cafe.,Coffee shop,"Coffee shop, Cafe",4.2,316.0,"Caffe D'arte - Pioneer Square Cafe., 99 Yesler Wy, Seattle, WA 98104",98104,Chinatown
2308,Srivilai Thai Cuisine,Thai restaurant,"Thai restaurant, Restaurant",4.4,379.0,"Srivilai Thai Cuisine, 3247 California Ave SW, Seattle, WA 98116",98116,Other
2309,The Woods,Night club,"Night club, Event venue",3.8,29.0,"The Woods, 1512 11th Ave, Seattle, WA 98122",98122,Capitol Hill
2310,Rubinstein Bagels (South Lake Union),Bagel shop,"Bagel shop, Bakery, Cafe",4.0,379.0,"Rubinstein Bagels (South Lake Union), 2121 6th Ave, Seattle, WA 98121",98121,Belltown
2311,Princi,Italian restaurant,"Italian restaurant, Coffee shop",4.6,410.0,"Princi, Starbucks Reserve Roastery, 1124 Pike St, Seattle, WA 98101",98101,Downtown
2317,Starbucks,Coffee shop,"Coffee shop, Breakfast restaurant, Cafe, Coffee store, Espresso bar, Internet cafe",4.2,220.0,"Starbucks, 701 5th Ave, Seattle, WA 98104",98104,Chinatown
2318,Subway,Sandwich shop,"Sandwich shop, Caterer, Fast food restaurant, Takeout Restaurant, Restaurant",4.1,220.0,"Subway, 5603 4th Ave S, Seattle, WA 98108",98108,Other
2319,Jak's Grill,Steak house,"Steak house, Bar, Restaurant",4.6,741.0,"Jak's Grill, 3701 NE 45th St, Seattle, WA 98105",98105,University District
2321,Marination,Hawaiian restaurant,"Hawaiian restaurant, Fast food restaurant, Korean restaurant",4.3,1175.0,"Marination, 2000 6th Ave, Seattle, WA 98121",98121,Belltown
2324,Nuodle,Chinese noodle restaurant,Chinese noodle restaurant,3.7,67.0,"Washington, Seattle, University Way NE, NuodleYou Zheng Bian Ma : 98105",98105,University District
2325,Bar Cotto,Pizza restaurant,"Pizza restaurant, Cocktail bar, Italian restaurant",4.6,410.0,"Bar Cotto, 1546 15th Ave, Seattle, WA 98122",98122,Capitol Hill
2326,Jewel Box Cafe,Cafe,"Cafe, Coffee shop",4.1,1086.0,"Jewel Box Cafe, 321 NE Thornton Pl, Seattle, WA 98125",98125,Northgate
2327,Sam's Sushi Bar & Grill,Sushi restaurant,"Sushi restaurant, Japanese restaurant",4.5,363.0,"Sam's Sushi Bar & Grill, 5506 22nd Ave NW, Seattle, WA 98107",98107,Ballard
2328,Mamnoon,Middle Eastern restaurant,Middle Eastern restaurant,4.3,1555.0,"Mamnoon, 1508 Melrose Ave, Seattle, WA 98122",98122,Capitol Hill
2329,Ludi's Restaurant,Breakfast restaurant,"Breakfast restaurant, American restaurant, Brunch restaurant, Filipino restaurant, Lunch restaurant",4.4,1237.0,"Ludi's Restaurant, 120 Stewart St, Seattle, WA 98101",98101,Downtown
2330,McDonald's,Fast food restaurant,"Fast food restaurant, Breakfast restaurant, Coffee shop, Hamburger restaurant, Restaurant, Sandwich shop",3.5,1654.0,"McDonald's, 5146 25th Ave NE, Seattle, WA 98105",98105,University District
2334,Canton Wonton House,Cantonese restaurant,"Cantonese restaurant, Asian fusion restaurant, Asian restaurant, Chinese restaurant, Chinese takeaway, Lunch restaurant",4.6,233.0,"Canton Wonton House, 608 S Weller St, Seattle, WA 98104",98104,Chinatown
2338,Bento World Sushi & Teriyaki,Restaurant,"Restaurant, Japanese restaurant, Korean restaurant, Sushi restaurant",4.5,277.0,"Bento World Sushi & Teriyaki, 306 Lenora St, Seattle, WA 98121",98121,Belltown
2339,Taqueria Jalisco,Taco restaurant,Taco restaurant,4.5,35.0,"Taqueria Jalisco, 1841 S 120th St, Seattle, WA 98168",98168,Other
2341,Hummus Cafe,Mediterranean restaurant,"Mediterranean restaurant, Egyptian restaurant",4.4,297.0,"Hummus Cafe, 8420 Greenwood Ave N, Seattle, WA 98103",98103,Fremont/Wallingford
2344,Eastlake Specialty Market,Deli,"Deli, Market",4.1,48.0,"Eastlake Specialty Market, 1540 Eastlake Ave E # D, Seattle, WA 98102",98102,Capitol Hill
2345,Prost! West Seattle,Bar,"Bar, German restaurant, Restaurant",4.5,410.0,"Prost! West Seattle, 3407 California Ave SW, Seattle, WA 98116",98116,Other
2346,The Dressing Room: Bistro and Bar By Can Can,Restaurant,"Restaurant, Bar, Bistro, Brunch restaurant",4.4,67.0,"The Dressing Room: Bistro and Bar By Can Can, 1530 1/2 Post Alley, Seattle, WA 98101",98101,Downtown
2349,Cactus South Lake Union,Mexican restaurant,"Mexican restaurant, American restaurant, Cocktail bar, Latin American restaurant, Southwestern restaurant (US)",4.4,3436.0,"Cactus South Lake Union, 350 Terry Ave N, Seattle, WA 98109",98109,Queen Anne/South Lake Union
2351,Momosan Seattle,Ramen restaurant,Ramen restaurant,4.2,511.0,"Momosan Seattle, 501 5th Ave S Suite 119, Seattle, WA 98104",98104,Chinatown
2353,The George & Dragon Pub,Bar,Bar,4.4,636.0,"The George & Dragon Pub, 206 N 36th St, Seattle, WA 98103",98103,Fremont/Wallingford
2354,Silence Heart Nest Vegetarian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Restaurant",4.5,290.0,"Silence Heart Nest Vegetarian Restaurant, 3508 Fremont Pl N, Seattle, WA 98103",98103,Fremont/Wallingford
2355,Seven Stars Pepper Szechwan Restaurant,Sichuan restaurant,"Sichuan restaurant, Chinese restaurant, Seafood restaurant",4.3,400.0,"Seven Stars Pepper Szechwan Restaurant, 1207 S Jackson St #211, Seattle, WA 98144",98144,Other
2356,Shanghai Garden,Chinese restaurant,"Chinese restaurant, Asian restaurant, Restaurant",4.3,424.0,"Shanghai Garden, 524 6th Ave S, Seattle, WA 98104",98104,Chinatown
2357,Verve Bowls - Capitol Hill,Restaurant,Restaurant,4.0,260.0,"Verve Bowls - Capitol Hill, In the, Pike Motor Works, 715 East Pine Street, Courtyard Suite K, Seattle, WA 98122",98122,Capitol Hill
2360,Rom Mai Thai Restaurant,Thai restaurant,Thai restaurant,4.4,488.0,"Rom Mai Thai Restaurant, 613 Broadway E, Seattle, WA 98102",98102,Capitol Hill
2361,El Moose,Mexican restaurant,"Mexican restaurant, Bar, Gluten-free restaurant, Vegetarian restaurant",4.6,1485.0,"El Moose, 5242 Leary Ave NW, Seattle, WA 98107",98107,Ballard
2362,Caffe Torino,Cafe,"Cafe, Brunch restaurant, Coffee shop, Pastry shop, Sandwich shop",4.2,202.0,"Caffe Torino, 422 Yale Ave N B, Seattle, WA 98109",98109,Queen Anne/South Lake Union
2363,Al Bacha Restaurant,Mediterranean restaurant,"Mediterranean restaurant, Restaurant",4.5,703.0,"Al Bacha Restaurant, 1833 Broadway, Seattle, WA 98122",98122,Capitol Hill
