index,Restaurant,URL,Rating,Number_of_reviews,Address,Marquee,Distribution,DollarSigns,RestaurantType
938,Nuflours,https://www.tripadvisor.com/Restaurant_Review-g60878-d4837619-Reviews-Nuflours-Seattle_Washington.html,4.5,26,"518 15th Ave E, Seattle, WA 98112-4513",#40 of 88 Bakeries in Seattle,"[22, 3, 0, 0, 1]",$$ - $$$,BakeriesAmericanCafe
939,Marmite,https://www.tripadvisor.com/Restaurant_Review-g60878-d12284355-Reviews-Marmite-Seattle_Washington.html,4.5,25,"1424 11th Ave, Seattle, WA 98122-4269","#582 of 2,182 Restaurants in Seattle","[14, 6, 3, 2, 0]",$$ - $$$,FrenchAmericanVegetarian Friendly
940,Ivar's Seafood Bar,https://www.tripadvisor.com/Restaurant_Review-g58349-d464182-Reviews-Ivar_s_Seafood_Bar-Bellevue_Washington.html,4,45,"1505 156th Ave NE, Bellevue, WA 98007-4498",#11 of 42 Quick Bites in Bellevue,"[12, 21, 3, 4, 2]",$,Quick BitesAmericanSeafood
941,Marlai Thai Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432203-Reviews-Marlai_Thai_Restaurant-Seattle_Washington.html,4,39,"3719 NE 45th St, Seattle, WA 98105-3909","#583 of 2,182 Restaurants in Seattle","[20, 10, 6, 3, 0]",$$ - $$$,AsianThaiVegetarian Friendly
942,Starbucks,https://www.tripadvisor.com/Restaurant_Review-g58349-d2252200-Reviews-Starbucks-Bellevue_Washington.html,4,34,"226 Bellevue Sq, Bellevue, WA 98004-5020",#3 of 31 Coffee & Tea in Bellevue,"[15, 10, 5, 2, 0]",$,Quick BitesAmericanCafe
943,Tutta Bella,https://www.tripadvisor.com/Restaurant_Review-g60878-d897965-Reviews-Tutta_Bella-Seattle_Washington.html,4,53,"900 Lenora St, Seattle, WA 98121-2720","#584 of 2,182 Restaurants in Seattle","[19, 20, 7, 3, 1]",$$ - $$$,ItalianPizza
944,Country Dough,https://www.tripadvisor.com/Restaurant_Review-g60878-d8610793-Reviews-Country_Dough-Seattle_Washington.html,4,50,"1916 Pike Pl Suite 14, Seattle, WA 98101-1056",#151 of 302 Quick Bites in Seattle,"[19, 17, 9, 1, 3]",$,Quick BitesChineseAsian
945,Salty's at the SEA,https://www.tripadvisor.com/Restaurant_Review-g60878-d25455936-Reviews-Salty_s_at_the_SEA-Seattle_Washington.html,4.5,11,"17801 International Blvd #ct-1, Seattle, WA 98158","#585 of 2,182 Restaurants in Seattle","[8, 1, 1, 1, 0]",$$ - $$$,Seafood
946,The Bar at Chihuly Garden and Glass,https://www.tripadvisor.com/Restaurant_Review-g60878-d25191974-Reviews-The_Bar_at_Chihuly_Garden_and_Glass-Seattle_Washington.html,4.5,9,"305 Harrison St, Seattle, WA 98109-4623","#586 of 2,182 Restaurants in Seattle","[7, 1, 1, 0, 0]",$$ - $$$,BarDining bars
947,The Everest Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d823691-Reviews-The_Everest_Kitchen-Seattle_Washington.html,4,48,"17171 Bothell Way NE Ste A016 Lake Forest park, WA 98155, Seattle, WA 98155-4204","#587 of 2,182 Restaurants in Seattle","[15, 21, 7, 4, 1]",$$ - $$$,IndianTibetanNepali
948,Village Sushi,https://www.tripadvisor.com/Restaurant_Review-g60878-d1491186-Reviews-Village_Sushi-Seattle_Washington.html,4.5,36,"4741 12th Ave NE, Seattle, WA 98105-4401","#588 of 2,182 Restaurants in Seattle","[19, 8, 5, 1, 1]",$$ - $$$,JapaneseSushiAsian
949,Great American Diner and Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d12834116-Reviews-Great_American_Diner_and_Bar-Seattle_Washington.html,4,30,"4752 California Ave SW, Seattle, WA 98116-4413","#589 of 2,182 Restaurants in Seattle","[14, 8, 5, 1, 1]",$$ - $$$,AmericanBarPub
950,BRIEF Encounter,https://www.tripadvisor.com/Restaurant_Review-g58349-d433365-Reviews-BRIEF_Encounter-Bellevue_Washington.html,4,34,"2632 Bellevue Way NE, Bellevue, WA 98004-2209",#70 of 316 Restaurants in Bellevue,"[9, 14, 9, 2, 0]",$$ - $$$,AmericanCafeDiner
951,Meskel Ethiopian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d432712-Reviews-Meskel_Ethiopian_Restaurant-Seattle_Washington.html,4.5,27,"2605 E Cherry St, Seattle, WA 98122-4933","#590 of 2,182 Restaurants in Seattle","[15, 10, 0, 2, 0]",$$ - $$$,AfricanEthiopianVegetarian Friendly
952,Chuck's Hop Shop,https://www.tripadvisor.com/Restaurant_Review-g60878-d7984628-Reviews-Chuck_s_Hop_Shop-Seattle_Washington.html,4.5,29,"2001 E Union St, Seattle, WA 98122-2835","#591 of 2,182 Restaurants in Seattle","[18, 7, 2, 0, 1]",$,BarPub
953,Musang,https://www.tripadvisor.com/Restaurant_Review-g60878-d23398498-Reviews-Musang-Seattle_Washington.html,4.5,10,"2524 Beacon Ave S, Seattle, WA 98144-5132","#592 of 2,182 Restaurants in Seattle","[8, 1, 1, 0, 0]",$$ - $$$,FilipinoAsian
954,Ballard Smoke Shop,https://www.tripadvisor.com/Restaurant_Review-g60878-d527169-Reviews-Ballard_Smoke_Shop-Seattle_Washington.html,4.5,24,"5439 Ballard Ave NW, Seattle, WA 98107-4052","#593 of 2,182 Restaurants in Seattle","[13, 9, 1, 0, 0]",$,AmericanCafeGreek
955,Sawan Thai Kitchen,https://www.tripadvisor.com/Restaurant_Review-g58342-d920941-Reviews-Sawan_Thai_Kitchen-Bainbridge_Island_Washington.html,4,39,"4765 Lynwood Center Rd NE # 101, Bainbridge Island, WA 98110-3221",#19 of 41 Restaurants in Bainbridge Island,"[18, 14, 4, 3, 0]",$$ - $$$,AsianThaiVegetarian Friendly
956,D' La Santa Mexican Cuisine & Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d13094230-Reviews-D_La_Santa_Mexican_Cuisine_Grill-Seattle_Washington.html,5,13,"2359 10th Ave E, Seattle, WA 98102-4009","#594 of 2,182 Restaurants in Seattle","[11, 2, 0, 0, 0]",$$ - $$$,Mexican
957,Tavolata Capitol Hill,https://www.tripadvisor.com/Restaurant_Review-g60878-d10782285-Reviews-Tavolata_Capitol_Hill-Seattle_Washington.html,4,43,"501 E Pike St, Seattle, WA 98122-3571","#595 of 2,182 Restaurants in Seattle","[20, 7, 9, 3, 2]",$$ - $$$,ItalianVegetarian Friendly
958,Cafe Con Leche,https://www.tripadvisor.com/Restaurant_Review-g60878-d3665199-Reviews-Cafe_Con_Leche-Seattle_Washington.html,4,33,"2901 1st Ave S, Seattle, WA 98134-1821","#596 of 2,182 Restaurants in Seattle","[15, 10, 2, 1, 2]",$$ - $$$,CaribbeanLatinCuban
959,JaK's Alehouse,https://www.tripadvisor.com/Restaurant_Review-g60878-d10335308-Reviews-JaK_s_Alehouse-Seattle_Washington.html,4.5,29,"7900 E Green Lake Dr N, Seattle, WA 98103-4800","#597 of 2,182 Restaurants in Seattle","[13, 11, 3, 0, 1]",$$ - $$$,AmericanBrew PubBar
960,Cafe Nordstrom,https://www.tripadvisor.com/Restaurant_Review-g60878-d2219716-Reviews-Cafe_Nordstrom-Seattle_Washington.html,4,37,"100 Southcenter Shopping Center, Seattle, WA 98188","#598 of 2,182 Restaurants in Seattle","[12, 20, 2, 1, 1]",$$ - $$$,CafeContemporaryVegetarian Friendly
961,Takis' Mad Greek,https://www.tripadvisor.com/Restaurant_Review-g60878-d1510777-Reviews-Takis_Mad_Greek-Seattle_Washington.html,4.5,27,"8539 15th Ave NW, Seattle, WA 98117-3606","#599 of 2,182 Restaurants in Seattle","[11, 12, 4, 0, 0]",$$ - $$$,MediterraneanGreekVegetarian Friendly
962,RBG Bar and Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d3620124-Reviews-RBG_Bar_and_Grill-Seattle_Washington.html,4,66,"18118 International Blvd, Seattle, WA 98188","#600 of 2,182 Restaurants in Seattle","[18, 25, 16, 1, 2]",$$ - $$$,AmericanBar
963,Szechuan Chef,https://www.tripadvisor.com/Restaurant_Review-g58349-d615051-Reviews-Szechuan_Chef-Bellevue_Washington.html,4,68,"15015 Main St, Bellevue, WA 98007-5229",#71 of 316 Restaurants in Bellevue,"[28, 21, 12, 5, 2]",$$ - $$$,ChineseAsianSzechuan
964,2C Thai Bistro & Spirits,https://www.tripadvisor.com/Restaurant_Review-g60878-d8609785-Reviews-2C_Thai_Bistro_Spirits-Seattle_Washington.html,4.5,22,"12506 Lake City Way NE, Seattle, WA 98125-4425","#601 of 2,182 Restaurants in Seattle","[13, 5, 4, 0, 0]",$$ - $$$,AsianThaiVegetarian Friendly
965,Roxy's Diner,https://www.tripadvisor.com/Restaurant_Review-g60878-d484856-Reviews-Roxy_s_Diner-Seattle_Washington.html,4,107,"462 N 36th St, Seattle, WA 98103-8631","#602 of 2,182 Restaurants in Seattle","[37, 40, 14, 5, 8]",$$ - $$$,AmericanDinerVegetarian Friendly
966,Royal India,https://www.tripadvisor.com/Restaurant_Review-g58541-d512338-Reviews-Royal_India-Kirkland_Washington.html,4,49,"9714 NE Juanita Dr, Kirkland, WA 98034-6532",#25 of 147 Restaurants in Kirkland,"[21, 17, 4, 2, 5]",$$ - $$$,IndianVegetarian FriendlyVegan Options
967,Matsu,https://www.tripadvisor.com/Restaurant_Review-g60878-d17632574-Reviews-Matsu-Seattle_Washington.html,4.5,15,"501 Stadium Pl S, Seattle, WA 98104-7800","#603 of 2,182 Restaurants in Seattle","[11, 1, 1, 0, 1]",$$ - $$$,JapaneseSushiAsian
968,India Gate Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58349-d512435-Reviews-India_Gate_Restaurant-Bellevue_Washington.html,4,54,"3080 148th Ave SE Suite 102, Bellevue, WA 98007-6420",#72 of 316 Restaurants in Bellevue,"[20, 20, 9, 3, 1]",$$ - $$$,IndianVegetarian FriendlyVegan Options
969,Kiwami Sushi Bar & Sake House,https://www.tripadvisor.com/Restaurant_Review-g58541-d7626359-Reviews-Kiwami_Sushi_Bar_Sake_House-Kirkland_Washington.html,4,43,"104 Kirkland Ave, Kirkland, WA 98033-6504",#26 of 147 Restaurants in Kirkland,"[20, 14, 5, 2, 2]",$$ - $$$,JapaneseSushiAsian
970,Farvahar Persian Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d4664360-Reviews-Farvahar_Persian_Cafe-Seattle_Washington.html,4.5,29,"1530 Post Aly Ste 3, Seattle, WA 98101-3520","#604 of 2,182 Restaurants in Seattle","[17, 7, 2, 0, 1]",$,Middle EasternPersianVegetarian Friendly
971,Blue Moon Burgers,https://www.tripadvisor.com/Restaurant_Review-g60878-d3804045-Reviews-Blue_Moon_Burgers-Seattle_Washington.html,4,36,"703 N 34th St, Seattle, WA 98103-8800","#605 of 2,182 Restaurants in Seattle","[8, 20, 3, 2, 1]",$$ - $$$,AmericanPubGluten Free Options
972,Wa'z Seattle,https://www.tripadvisor.com/Restaurant_Review-g60878-d13804248-Reviews-Wa_z_Seattle-Seattle_Washington.html,5,12,"411 Cedar St, Seattle, WA 98121-1519","#606 of 2,182 Restaurants in Seattle","[11, 0, 0, 0, 0]",$$$$,JapaneseSushiAsian
973,Empire Roasters and Records,https://www.tripadvisor.com/Restaurant_Review-g60878-d2394874-Reviews-Empire_Roasters_and_Records-Seattle_Washington.html,4.5,29,"3829A S Edmunds St, Seattle, WA 98118-1729",#47 of 225 Coffee & Tea in Seattle,"[16, 12, 1, 0, 0]",$,Quick BitesCafe
974,The Rock Wood Fired Pizza,https://www.tripadvisor.com/Restaurant_Review-g58704-d3340840-Reviews-The_Rock_Wood_Fired_Pizza-Renton_Washington.html,3.5,77,"830 N 10th St Ste A, Renton, WA 98057-5596",#34 of 199 Restaurants in Renton,"[16, 30, 19, 6, 5]",$$ - $$$,AmericanBarPizza
975,Red Robin Gourmet Burgers & Brews,https://www.tripadvisor.com/Restaurant_Review-g58702-d19942328-Reviews-Red_Robin_Gourmet_Burgers_Brews-Redmond_Washington.html,4,81,"2390 148th Ave NE, Redmond, WA 98052-5508",#26 of 125 Restaurants in Redmond,"[20, 29, 17, 7, 2]",$$ - $$$,AmericanBar
976,Panera Bread,https://www.tripadvisor.com/Restaurant_Review-g58704-d7359559-Reviews-Panera_Bread-Renton_Washington.html,4,34,"921 N 10th St Ste E Suite E, Renton, WA 98057",#6 of 19 Quick Bites in Renton,"[14, 11, 8, 1, 0]",$$ - $$$,Quick BitesAmericanCafe
977,Karaage Setsuna,https://www.tripadvisor.com/Restaurant_Review-g60878-d11804432-Reviews-Karaage_Setsuna-Seattle_Washington.html,4.5,18,"2421 2nd Ave, Seattle, WA 98121-1424","#607 of 2,182 Restaurants in Seattle","[12, 4, 0, 1, 0]",$$ - $$$,JapaneseAsianHawaiian
978,Salmon Bay Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d463491-Reviews-Salmon_Bay_Cafe-Seattle_Washington.html,4,58,"5109 Shilshole Ave NW, Seattle, WA 98107-4836","#608 of 2,182 Restaurants in Seattle","[22, 19, 7, 7, 2]",$,AmericanBarCafe
979,Frankfurter,https://www.tripadvisor.com/Restaurant_Review-g60878-d432748-Reviews-Frankfurter-Seattle_Washington.html,4,34,"1023 Alaskan Way, Seattle, WA 98104-1011","#609 of 2,182 Restaurants in Seattle","[17, 8, 6, 2, 0]",$,AmericanFast Food
980,Homegrown,https://www.tripadvisor.com/Restaurant_Review-g60878-d4303458-Reviews-Homegrown-Seattle_Washington.html,4.5,20,"2201 Queen Anne Ave N, Seattle, WA 98109-2313",#153 of 302 Quick Bites in Seattle,"[10, 8, 1, 0, 0]",$$ - $$$,Quick BitesAmericanCafe
981,Tallulah's,https://www.tripadvisor.com/Restaurant_Review-g60878-d7262924-Reviews-Tallulah_s-Seattle_Washington.html,4,69,"19th Ave and Mercer Street Capitol Hill, Seattle, WA 98112","#610 of 2,182 Restaurants in Seattle","[22, 22, 16, 4, 4]",$$ - $$$,AmericanVegetarian FriendlyVegan Options
982,Stk Steakhouse Bellevue,https://www.tripadvisor.com/Restaurant_Review-g58349-d23500498-Reviews-Stk_Steakhouse_Bellevue-Bellevue_Washington.html,4,54,"610 Bellevue Way NE #110 #110, Bellevue, WA 98004",#73 of 316 Restaurants in Bellevue,"[31, 5, 3, 5, 10]",$$$$,AmericanSteakhouseSeafood
983,Two Doors Down,https://www.tripadvisor.com/Restaurant_Review-g60878-d8630270-Reviews-Two_Doors_Down-Seattle_Washington.html,4.5,21,"2332 E Madison St, Seattle, WA 98112-5417","#611 of 2,182 Restaurants in Seattle","[10, 9, 1, 0, 0]",,
984,Caffe D'Arte,https://www.tripadvisor.com/Restaurant_Review-g60878-d12838682-Reviews-Caffe_D_Arte-Seattle_Washington.html,4.5,17,"99 Yesler Way, Seattle, WA 98104-2530",#48 of 225 Coffee & Tea in Seattle,"[13, 2, 0, 2, 0]",$,Quick BitesAmericanCafe
985,Lighthouse Roasters Fine Coffees,https://www.tripadvisor.com/Restaurant_Review-g60878-d479754-Reviews-Lighthouse_Roasters_Fine_Coffees-Seattle_Washington.html,4.5,37,"400 N 43rd St, Seattle, WA 98103-7106",#49 of 225 Coffee & Tea in Seattle,"[23, 10, 2, 1, 0]",$$ - $$$,Quick BitesCafe
986,45th Stop N Shop & Poke Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d11719561-Reviews-45th_Stop_N_Shop_Poke_Bar-Seattle_Washington.html,5,16,"2323 N 45th St, Seattle, WA 98103-6905","#612 of 2,182 Restaurants in Seattle","[14, 1, 0, 0, 0]",$,Seafood
987,Great State Burger,https://www.tripadvisor.com/Restaurant_Review-g60878-d9809009-Reviews-Great_State_Burger-Seattle_Washington.html,4,52,"2041 7th Ave, Seattle, WA 98121-2601",#156 of 302 Quick Bites in Seattle,"[14, 20, 5, 5, 4]",$,Quick BitesAmericanFast Food
988,The Retro Restaurant and Lounge,https://www.tripadvisor.com/Restaurant_Review-g60878-d5018428-Reviews-The_Retro_Restaurant_and_Lounge-Seattle_Washington.html,4.5,23,"216 Stewart St, Seattle, WA 98101-1110","#613 of 2,182 Restaurants in Seattle","[14, 5, 0, 1, 1]",$,AmericanBarPub
989,La Cabana Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d9732291-Reviews-La_Cabana_Restaurant-Seattle_Washington.html,4.5,20,"606 N 105th St, Seattle, WA 98133-9216","#614 of 2,182 Restaurants in Seattle","[14, 4, 2, 0, 0]",$$ - $$$,LatinCentral American
990,Bad Albert's Tap & Grill,https://www.tripadvisor.com/Restaurant_Review-g60878-d2087165-Reviews-Bad_Albert_s_Tap_Grill-Seattle_Washington.html,4.5,25,"5100 Ballard Ave NW, Seattle, WA 98107-4856","#615 of 2,182 Restaurants in Seattle","[13, 11, 1, 0, 0]",$,AmericanBarPub
991,Georgia's Greek Restaurant Food Truck Market & Deli,https://www.tripadvisor.com/Restaurant_Review-g60878-d1497571-Reviews-Georgia_s_Greek_Restaurant_Food_Truck_Market_Deli-Seattle_Washington.html,4,30,"8007 Lake City Way NE, Seattle, WA 98115","#616 of 2,182 Restaurants in Seattle","[9, 17, 2, 2, 0]",$$ - $$$,MediterraneanGreekVegetarian Friendly
992,Tandoori Hut,https://www.tripadvisor.com/Restaurant_Review-g60878-d3837421-Reviews-Tandoori_Hut-Seattle_Washington.html,4,35,"2616 2nd Ave, Seattle, WA 98121","#617 of 2,182 Restaurants in Seattle","[14, 13, 4, 0, 2]",$$ - $$$,IndianVegetarian FriendlyVegan Options
993,Saffron Spice,https://www.tripadvisor.com/Restaurant_Review-g60878-d4731983-Reviews-Saffron_Spice-Seattle_Washington.html,4.5,15,"93 Pike St Ste 3, Seattle, WA 98101-2052","#618 of 2,182 Restaurants in Seattle","[12, 1, 1, 0, 0]",$,Indian
994,Skillet Street Food,https://www.tripadvisor.com/Restaurant_Review-g60878-d1015363-Reviews-Skillet_Street_Food-Seattle_Washington.html,4.5,37,"Varies, Seattle, WA","#619 of 2,182 Restaurants in Seattle","[19, 14, 3, 0, 0]",$$ - $$$,American
995,Safari Njema Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d4743589-Reviews-Safari_Njema_Restaurant-Seattle_Washington.html,4.5,22,"5041 Rainier Ave S, Seattle, WA 98118-1946","#620 of 2,182 Restaurants in Seattle","[12, 8, 2, 0, 0]",$$ - $$$,AfricanVegetarian Friendly
996,Mike's Noodle House Incorporated,https://www.tripadvisor.com/Restaurant_Review-g60878-d479789-Reviews-Mike_s_Noodle_House_Incorporated-Seattle_Washington.html,4,72,"418 Maynard Ave S, Seattle, WA 98104-2917","#621 of 2,182 Restaurants in Seattle","[25, 21, 11, 6, 4]",$,ChineseAsianCantonese
997,Union Saloon,https://www.tripadvisor.com/Restaurant_Review-g60878-d12449970-Reviews-Union_Saloon-Seattle_Washington.html,4.5,17,"3645 Wallingford Ave N, Seattle, WA 98103-8241","#622 of 2,182 Restaurants in Seattle","[12, 5, 0, 0, 0]",$$ - $$$,BarPub
998,Old Stove Brewing,https://www.tripadvisor.com/Restaurant_Review-g60878-d12218640-Reviews-Old_Stove_Brewing-Seattle_Washington.html,4,32,"1525 1st Ave Ste 16, Seattle, WA 98101-1548","#623 of 2,182 Restaurants in Seattle","[14, 10, 4, 2, 0]",$$ - $$$,AmericanBarPub
999,Queen Sheeba Ethiopian Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60878-d433071-Reviews-Queen_Sheeba_Ethiopian_Restaurant-Seattle_Washington.html,4,49,"916 E John St, Seattle, WA 98102-5716","#624 of 2,182 Restaurants in Seattle","[18, 18, 6, 3, 2]",$$ - $$$,AfricanEthiopian
1000,Market Diner,https://www.tripadvisor.com/Restaurant_Review-g60878-d1798384-Reviews-Market_Diner-Seattle_Washington.html,4,50,"1514 Pike Pl Ste 8 Corner Market & Sanitary Market, Seattle, WA 98101-1574","#625 of 2,182 Restaurants in Seattle","[21, 13, 9, 1, 2]",$,AmericanDiner
1001,Latona Pub,https://www.tripadvisor.com/Restaurant_Review-g60878-d2185211-Reviews-Latona_Pub-Seattle_Washington.html,4.5,29,"6423 Latona Ave NE, Seattle, WA 98115-6556","#626 of 2,182 Restaurants in Seattle","[15, 9, 5, 0, 0]",$$ - $$$,AmericanBarPub
1002,Columbia City Ale House,https://www.tripadvisor.com/Restaurant_Review-g60878-d2433245-Reviews-Columbia_City_Ale_House-Seattle_Washington.html,4,43,"4914 Rainier Ave S, Seattle, WA 98118-1744",#13 of 69 Bars & Pubs in Seattle,"[16, 22, 3, 1, 1]",$$ - $$$,AmericanBarPub
1003,Daniel's Broiler - Leschi,https://www.tripadvisor.com/Restaurant_Review-g60878-d433376-Reviews-Daniel_s_Broiler_Leschi-Seattle_Washington.html,3.5,137,"200 Lake Washington Blvd, Seattle, WA 98122-6591","#628 of 2,182 Restaurants in Seattle","[54, 24, 33, 13, 9]",$$$$,AmericanSteakhouseGluten Free Options
1004,Violet,https://www.tripadvisor.com/Restaurant_Review-g60878-d20483339-Reviews-Violet-Seattle_Washington.html,5,8,"1734 12th Ave Base Capitol Hill, Seattle, WA 98122-2436","#629 of 2,182 Restaurants in Seattle","[7, 1, 0, 0, 0]",,
1005,Limoncello,https://www.tripadvisor.com/Restaurant_Review-g60878-d19508018-Reviews-Limoncello-Seattle_Washington.html,4.5,16,"2326 1st Ave, Seattle, WA 98121-1617","#630 of 2,182 Restaurants in Seattle","[10, 2, 1, 2, 0]",$$ - $$$,ItalianVegan Options
1006,Bounty Kitchen,https://www.tripadvisor.com/Restaurant_Review-g60878-d8368927-Reviews-Bounty_Kitchen-Seattle_Washington.html,4,42,"7 Boston St, Seattle, WA 98109-2320","#631 of 2,182 Restaurants in Seattle","[18, 13, 5, 3, 2]",$$ - $$$,AmericanVegetarian FriendlyVegan Options
1007,Mulleady's Irish Pub,https://www.tripadvisor.com/Restaurant_Review-g60878-d1774356-Reviews-Mulleady_s_Irish_Pub-Seattle_Washington.html,4,34,"3055 21st Ave W, Seattle, WA 98199-2987",#14 of 69 Bars & Pubs in Seattle,"[14, 15, 3, 1, 1]",$$ - $$$,IrishBarPub
1008,Top Gun Chinese Seafood Restaurant,https://www.tripadvisor.com/Restaurant_Review-g58349-d816803-Reviews-Top_Gun_Chinese_Seafood_Restaurant-Bellevue_Washington.html,3.5,107,"12450 SE 38th St, Bellevue, WA 98006-1202",#74 of 316 Restaurants in Bellevue,"[23, 51, 17, 9, 7]",$$ - $$$,ChineseSeafoodAsian
1009,Lucky's Pho,https://www.tripadvisor.com/Restaurant_Review-g60878-d2374612-Reviews-Lucky_s_Pho-Seattle_Washington.html,4.5,23,"3414 Fremont Ave N, Seattle, WA 98103-8812","#633 of 2,182 Restaurants in Seattle","[14, 5, 3, 0, 0]",$,AsianVietnameseVegetarian Friendly
1010,El Borracho,https://www.tripadvisor.com/Restaurant_Review-g60878-d10818017-Reviews-El_Borracho-Seattle_Washington.html,4.5,22,"5465 Leary Ave NW, Seattle, WA 98107-4011","#634 of 2,182 Restaurants in Seattle","[9, 9, 3, 0, 0]",$$ - $$$,MexicanLatinSpanish
1011,Hale’s Ales Brewery & Pub,https://www.tripadvisor.com/Restaurant_Review-g60878-d532951-Reviews-Hale_s_Ales_Brewery_Pub-Seattle_Washington.html,3.5,84,"4301 Leary Way NW, Seattle, WA 98107-4538","#635 of 2,182 Restaurants in Seattle","[24, 28, 20, 7, 4]",$$ - $$$,AmericanBarPub
1012,Ben & Jerry's,https://www.tripadvisor.com/Restaurant_Review-g58541-d842612-Reviews-Ben_Jerry_s-Kirkland_Washington.html,4.5,30,"176 Lake St S, Kirkland, WA 98033-6418",#4 of 8 Desserts in Kirkland,"[13, 14, 1, 2, 0]",$,Dessert
1013,Copacabana Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d432698-Reviews-Copacabana_Cafe-Seattle_Washington.html,3.5,155,"1520 1/2 Pike Pl, Seattle, WA 98101-1527","#636 of 2,182 Restaurants in Seattle","[27, 59, 26, 22, 11]",$$ - $$$,Latin
1014,Artisan Cafe,https://www.tripadvisor.com/Restaurant_Review-g60878-d5082141-Reviews-Artisan_Cafe-Seattle_Washington.html,4.5,32,"2523 5th Ave, Seattle, WA 98121-1515",#157 of 302 Quick Bites in Seattle,"[15, 8, 2, 0, 1]",$,Quick BitesCafeVegetarian Friendly
1015,"Stellar Pizza , Ale & Cocktails",https://www.tripadvisor.com/Restaurant_Review-g60878-d432247-Reviews-Stellar_Pizza_Ale_Cocktails-Seattle_Washington.html,4,49,"5513 Airport Way S, Seattle, WA 98108-2202","#637 of 2,182 Restaurants in Seattle","[18, 19, 6, 2, 3]",$$ - $$$,PizzaVegetarian Friendly
1016,Knee High Stocking Co.,https://www.tripadvisor.com/Restaurant_Review-g60878-d4784889-Reviews-Knee_High_Stocking_Co-Seattle_Washington.html,4,52,"1356 E Olive Way, Seattle, WA 98122-6813","#638 of 2,182 Restaurants in Seattle","[25, 13, 7, 4, 3]",$$ - $$$,AmericanBar
1017,Corvus and Co.,https://www.tripadvisor.com/Restaurant_Review-g60878-d10497002-Reviews-Corvus_and_Co-Seattle_Washington.html,4.5,17,"601 Broadway E Between Mercer Street & Roy Street, Seattle, WA 98102-5025","#639 of 2,182 Restaurants in Seattle","[10, 6, 1, 0, 0]",$$ - $$$,Vegetarian Friendly
1018,Aviv Hummus Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d12898856-Reviews-Aviv_Hummus_Bar-Seattle_Washington.html,4,24,"107 15th Ave E, Seattle, WA 98112-5209","#640 of 2,182 Restaurants in Seattle","[13, 7, 0, 3, 1]",$$ - $$$,MediterraneanMiddle EasternIsraeli
1019,Caffe Umbria,https://www.tripadvisor.com/Restaurant_Review-g60878-d10626341-Reviews-Caffe_Umbria-Seattle_Washington.html,4.5,24,"5407 Ballard Ave NW, Seattle, WA 98107-4052",#50 of 225 Coffee & Tea in Seattle,"[10, 10, 2, 0, 0]",$,Quick BitesCafeVegetarian Friendly
1020,Adana,https://www.tripadvisor.com/Restaurant_Review-g60878-d12503556-Reviews-Adana-Seattle_Washington.html,4,29,"1449 E Pine St, Seattle, WA 98122-4032","#641 of 2,182 Restaurants in Seattle","[14, 7, 5, 2, 0]",$$ - $$$,JapaneseAsianVegetarian Friendly
1021,Liberty Bar,https://www.tripadvisor.com/Restaurant_Review-g60878-d3420103-Reviews-Liberty_Bar-Seattle_Washington.html,4.5,27,"517 15th Ave E Capitol Hill, Seattle, WA 98112-4512","#642 of 2,182 Restaurants in Seattle","[20, 6, 0, 1, 0]",$$ - $$$,JapaneseSushiAsian
1022,Spud Fish & Chips,https://www.tripadvisor.com/Restaurant_Review-g60878-d463505-Reviews-Spud_Fish_Chips-Seattle_Washington.html,4,50,"6860 E Green Lake Way N, Seattle, WA 98115-5417",#159 of 302 Quick Bites in Seattle,"[15, 20, 10, 4, 1]",$,Quick BitesAmericanSeafood
1023,Blazing Bagels,https://www.tripadvisor.com/Restaurant_Review-g58349-d7198627-Reviews-Blazing_Bagels-Bellevue_Washington.html,4.5,31,"555 108th Ave NE Ste 2, Bellevue, WA 98004-5505",#4 of 16 Bakeries in Bellevue,"[16, 11, 1, 2, 1]",$,BakeriesAmericanCafe
1024,Shy Giant Frozen Yogurt,https://www.tripadvisor.com/Restaurant_Review-g60878-d3601084-Reviews-Shy_Giant_Frozen_Yogurt-Seattle_Washington.html,4.5,22,"1500 Pike Pl Ste 16, Seattle, WA 98101-2199",#65 of 112 Desserts in Seattle,"[13, 7, 1, 0, 0]",$,Dessert
